delta,theta,alpha,beta,gamma
0.07313488666623387,0.006742773727512815,0.001995490074134531,0.0004916018910030372,0.00013868969934037193
0.07313488666623387,0.006742773727512815,0.001995490074134531,0.0004916018910030372,0.00013868969934037193
0.07313488666623387,0.006742773727512815,0.001995490074134531,0.0004916018910030372,0.00013868969934037193
0.07313488666623387,0.006742773727512815,0.001995490074134531,0.0004916018910030372,0.00013868969934037193
0.07313488666623387,0.006742773727512815,0.001995490074134531,0.0004916018910030372,0.00013868969934037193
0.07313488666623387,0.006742773727512815,0.001995490074134531,0.0004916018910030372,0.00013868969934037193
0.07313488666623387,0.006742773727512815,0.001995490074134531,0.0004916018910030372,0.00013868969934037193
0.07313488666623387,0.006742773727512815,0.001995490074134531,0.0004916018910030372,0.00013868969934037193
0.07313488666623387,0.006742773727512815,0.001995490074134531,0.0004916018910030372,0.00013868969934037193
0.07313488666623387,0.006742773727512815,0.001995490074134531,0.0004916018910030372,0.00013868969934037193
0.07313488666623387,0.006742773727512815,0.001995490074134531,0.0004916018910030372,0.00013868969934037193
0.07313488666623387,0.006742773727512815,0.001995490074134531,0.0004916018910030372,0.00013868969934037193
0.07313488666623387,0.006742773727512815,0.001995490074134531,0.0004916018910030372,0.00013868969934037193
0.07313488666623387,0.006742773727512815,0.001995490074134531,0.0004916018910030372,0.00013868969934037193
0.07313488666623387,0.006742773727512815,0.001995490074134531,0.0004916018910030372,0.00013868969934037193
0.07313488666623387,0.006742773727512815,0.001995490074134531,0.0004916018910030372,0.00013868969934037193
0.007729212042253898,0.0035094019419974424,0.0025908320794011774,0.0017180415497645906,0.001296690567446791
0.008144132116919597,0.003944872903949444,0.002745677848513709,0.0017705411890442432,0.0013491357825651362
0.007775235820770696,0.003459805577838555,0.0025266340052791264,0.001681684095204731,0.0012734330087593039
0.007488115201107955,0.003500405306490467,0.002595481812408047,0.001706186955412351,0.0012586223843178888
0.008518518634181505,0.003768960709133157,0.002689395844598182,0.0017535217153236817,0.0013467107202979835
0.009279225612521603,0.004045652996930095,0.002824488796418796,0.0017724435497884225,0.001308001645928233
0.009565803344777355,0.004497171816691313,0.003191630820902554,0.001937665334809589,0.001388465467584111
0.009850855253098681,0.004526216395681402,0.0031984749714388896,0.0019322845068689342,0.0013939063241210335
0.009118015472923418,0.0039163646920958965,0.0027585331870831455,0.0017820041670193242,0.0013476765980689977
0.008023675683622809,0.0038532984141040755,0.0027102345415251743,0.0017415261355004006,0.0013204062652037041
0.009102544384531598,0.0040890375133661545,0.0027523299039294395,0.0017765834502285335,0.0013423125037636734
0.009801982856715734,0.00447721940220587,0.003083585238988767,0.001872133641012949,0.001370888472361397
0.006199300949037211,0.0033829555131119553,0.002425109769360909,0.0015988067451158754,0.0012266829436818406
0.009481365517242327,0.004090051351537411,0.0027948614127825543,0.0018369962197462254,0.0013581259639942034
