delta,theta,alpha,beta,gamma
2.5524143679776554e-05,2.7067506885692864e-05,3.2108857767244635e-05,6.324953424639798e-05,0.00013780659622628642
6.7482594745964285e-06,6.8821442509216e-06,7.833747809715192e-06,1.2662020039227044e-05,2.435029237862289e-05
2.986899830853197e-05,3.138348379570516e-05,3.611362135648391e-05,6.806056030306776e-05,0.0001463775735472625
3.5695166578648095e-05,3.7193793612245826e-05,4.246311176630432e-05,7.818108248326085e-05,0.0001714088085163256
3.278348809202971e-05,3.414198381082385e-05,3.9685670647096115e-05,7.896364505593148e-05,0.0001721329890576945
3.9816450695375754e-05,4.143493918518446e-05,4.704415861906381e-05,8.418220360814368e-05,0.0001823968141131934
3.352961146045915e-05,3.511189728592074e-05,4.1441082256629126e-05,7.874997694499345e-05,0.0001700194235595255
3.463812770159045e-05,3.6192639497246216e-05,4.326732002420325e-05,8.471955355308736e-05,0.00018802988221068716
3.731414116533165e-05,3.9340283121542255e-05,4.713930150325659e-05,9.073278972417725e-05,0.00020068296180780922
3.961047224406963e-05,4.1146467018586206e-05,4.818151866866867e-05,9.469318138262879e-05,0.00021097110784590304
3.397429328768545e-05,3.580474954697638e-05,4.2720247545395624e-05,8.340929535832047e-05,0.00018430192327834307
2.5104497936524653e-05,2.659943712101462e-05,3.177015021081161e-05,6.230605829095536e-05,0.00013536375584805363
2.7484085803034406e-05,2.8531454372882332e-05,3.263881494200534e-05,6.542231525647496e-05,0.0001487661109741064
2.9141216130736586e-05,3.0172336815378456e-05,3.465255797115745e-05,6.428450839762365e-05,0.00014168336396259615
2.5417089074737848e-05,2.6722898961451156e-05,3.178022306596678e-05,6.182433118644427e-05,0.00013631253813063262
2.972832430549993e-05,3.0877374414187814e-05,3.534004408175092e-05,6.544592204783932e-05,0.0001444785462700548
3.1887618485639204e-05,3.307932491480572e-05,3.75599309696227e-05,6.636725496188592e-05,0.0001423779167486641
2.771674460324075e-05,2.8857734038671136e-05,3.336162408810343e-05,6.433000590339078e-05,0.00014502721818113477
2.9002696622642056e-05,3.0267685323141196e-05,3.521049175776165e-05,6.586330960291797e-05,0.00014818713470241498
2.9758156066925014e-05,3.0931726967876995e-05,3.6099690531345945e-05,6.930939716073077e-05,0.0001519094301716605
2.8110123399118794e-05,2.9426183437915397e-05,3.509375247620796e-05,6.999866150851724e-05,0.00015784770465715974
3.5333065377083815e-05,3.679953401940057e-05,4.216164944209226e-05,8.222488604160818e-05,0.000188876513293985
3.4306892630587786e-05,3.6005891539270494e-05,4.239036237933712e-05,7.909013760855245e-05,0.00016975625541067546
3.957108791907535e-05,4.1010152993641514e-05,4.733509974369299e-05,9.07123902692373e-05,0.00021154493480108157
4.138976758670489e-05,4.3020648753216544e-05,4.9479274750750815e-05,9.623285252975549e-05,0.00021875798530688733
4.398798159036712e-05,4.628632245274606e-05,5.566857095607995e-05,0.00010862336939798574,0.0002421357101769039
4.445922423039152e-05,4.61900365119306e-05,5.364546070882197e-05,0.00010646014485084706,0.0002475229983928451
3.7748960499984844e-05,3.905374737916585e-05,4.446301422110946e-05,8.330836311252351e-05,0.00018901775223135352
3.1910018058164276e-05,3.387520167395577e-05,4.0544595261729194e-05,7.858243083634932e-05,0.00017197542431066922
3.680106737687817e-05,3.777434917571108e-05,4.245536092043513e-05,7.867081996040016e-05,0.00017145644414048546
3.1596585363894706e-05,3.272795874341342e-05,3.755703164677675e-05,7.165023075191442e-05,0.00015791985784635034
2.9139320773754953e-05,3.0387197759903724e-05,3.586821368575765e-05,6.91375558596274e-05,0.00014943582703462178
3.5524504611527586e-05,3.664833365793789e-05,4.121713313871355e-05,7.200699259452272e-05,0.00015997410571371533
3.483400011887826e-05,3.575618752017037e-05,3.9867816745429626e-05,7.223714765900486e-05,0.0001539289554300691
2.5101803706756047e-05,2.6248881274545283e-05,3.024310476212932e-05,5.808186346440377e-05,0.00012806438924337204
2.9988180074608418e-05,3.0978524571560994e-05,3.529458620211096e-05,6.53498004532235e-05,0.00014357593084249242
3.1170881173097964e-05,3.197929530017637e-05,3.520302557407167e-05,6.286470441705615e-05,0.00013472292872091155
3.157436677727674e-05,3.279847648542274e-05,3.6767636923068935e-05,7.185503689086337e-05,0.00015972214438585746
3.2079490879559666e-05,3.329071329342121e-05,3.7721333798412515e-05,6.820079173611268e-05,0.00014389579921279458
3.4006980102461856e-05,3.509073928428945e-05,3.947740382867255e-05,6.77007757511268e-05,0.00014448641869103465
2.7818713529659833e-05,2.913468591118049e-05,3.370772981729068e-05,6.400334460592733e-05,0.00013805874633616804
3.1423761162745484e-05,3.292582971159099e-05,3.791074505405195e-05,7.294722770505938e-05,0.0001577327826567899
3.3555246036948003e-05,3.4776717497289454e-05,4.019731838712344e-05,7.420916270739687e-05,0.0001594716356803529
2.8181098114360976e-05,2.938082240478029e-05,3.4273118876270713e-05,6.639485089747443e-05,0.00015025223127151043
3.2663400260221576e-05,3.3729465851984045e-05,3.728956684597423e-05,6.698159565854835e-05,0.00014417350352105202
2.6378756990045836e-05,2.754324046057405e-05,3.2558601152630166e-05,6.209337362476027e-05,0.00013706750285663043
2.471213516919227e-05,2.5644824736036457e-05,3.0004488982878432e-05,5.963754092806271e-05,0.00013426661317170082
2.8936210824227524e-05,3.0083580400743427e-05,3.469555496005636e-05,6.587223618198924e-05,0.00014679716038543136
3.25244463810018e-05,3.3571114382702245e-05,3.731041484796476e-05,6.566734720810991e-05,0.00014097733928295647
2.4474557637898297e-05,2.5658744851362945e-05,3.0138329192931186e-05,6.123466946430485e-05,0.00013711022870299878
2.4993277994389267e-05,2.5986008298317892e-05,2.9968386544848205e-05,5.9906210893997577e-05,0.00013582465770377598
2.9652644350804748e-05,3.0415345168435327e-05,3.457308966744838e-05,6.430991244790332e-05,0.00014524163542750155
3.08445844019337e-05,3.194325963464743e-05,3.657770106427524e-05,6.855538274114358e-05,0.00015200883131408888
2.7377419363904113e-05,2.8513771638465543e-05,3.2882110492669194e-05,6.430024446367832e-05,0.00014312125231523496
2.7633936891140787e-05,2.882271647836858e-05,3.332667965104143e-05,6.608546518423193e-05,0.00014488277328832992
3.10565083040429e-05,3.2607026389549815e-05,3.8519535437475284e-05,7.522942828215161e-05,0.00017207378236689538
3.054104678377707e-05,3.193200666060779e-05,3.6699406924363836e-05,6.866042532078853e-05,0.00014690150134507882
3.0285227309758837e-05,3.142668459842832e-05,3.561590620994796e-05,6.56946904635157e-05,0.00014193321881564305
2.4859409934349053e-05,2.5928405456358378e-05,2.9609202215355796e-05,5.9966858509244246e-05,0.0001354418817283454
3.5491857413639494e-05,3.6568111727767825e-05,4.139447446985928e-05,7.232718980852708e-05,0.00015540598652197236
